id,name,campaign_id,adset_id,status,effective_status,spend,impressions,clicks,ctr,cpc
6694036687801,Creo 1,6694036687601,6694036689401,ACTIVE,ACTIVE,14.79,1803,25,1.39,0.59
6694036688801,Creo 4,6694036687601,6694036689401,ACTIVE,ACTIVE,6.63,606,4,0.66,1.66
6694036688401,Creo 2,6694036687601,6694036689401,ACTIVE,ACTIVE,49.51,8562,123,1.44,0.4
6694036689001,Creo 3,6694036687601,6694036689401,ACTIVE,ACTIVE,5.98,382,4,1.05,1.5
6686216499401,Пропагандирование призыва к действию: Отправить сообщение,6686216478001,6686216484001,ACTIVE,ACTIVE,34.51,7435,491,6.6,0.07
6684244739401,Creo 1,6684244739201,6684244739601,ACTIVE,ACTIVE,185.23,179175,2505,1.4,0.07
6684244739001,Creo 1,6684244739201,6684244738801,ACTIVE,ACTIVE,185.23,190063,1864,0.98,0.1
6683232683801,Creo 1,6683155214201,6683232684001,ACTIVE,ACTIVE,196.11,202883,1604,0.79,0.12
6683155214401,Creo 1,6683155214201,6683155214601,ACTIVE,ACTIVE,206.86,197080,1751,0.89,0.12
6683232801601,Creo 1,6683148191601,6683232801801,ACTIVE,ACTIVE,197.69,170382,2326,1.37,0.08
6683148191801,Creo 1,6683148191601,6683148191401,ACTIVE,ACTIVE,208.48,118142,1780,1.51,0.12
